Date : 2022-07-08 07:07:05
Directory : d:\project\s2\testApp
Total : 133 files,  8343 codes, 451 comments, 626 blanks, all 9420 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript React   |         20 |      3,355 |        250 |        277 |      3,882 |
| TypeScript         |         84 |      3,306 |        161 |        209 |      3,676 |
| JSON               |          3 |        701 |          0 |          3 |        704 |
| Less               |         11 |        334 |          0 |         47 |        381 |
| Markdown           |          2 |        273 |          0 |         53 |        326 |
| HTML               |          1 |        221 |          0 |         16 |        237 |
| JavaScript         |          7 |        103 |         28 |         21 |        152 |
| JSON with Comments |          2 |         42 |         12 |          0 |         54 |
| XML                |          3 |          8 |          0 |          0 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |        133 |      8,343 |        451 |        626 |      9,420 |
| config                                                               |          5 |        749 |         37 |         13 |        799 |
| mock                                                                 |          4 |        455 |         10 |         28 |        493 |
| public                                                               |          3 |          8 |          0 |          0 |          8 |
| src                                                                  |        110 |      6,881 |        385 |        546 |      7,812 |
| src\components                                                       |         14 |      1,102 |         30 |        125 |      1,257 |
| src\components\Footer                                                |          1 |         16 |         20 |          6 |         42 |
| src\components\HeaderDropdown                                        |          2 |         28 |          0 |          7 |         35 |
| src\components\HeaderSearch                                          |          2 |        117 |          0 |         11 |        128 |
| src\components\NoticeIcon                                            |          5 |        486 |          1 |         46 |        533 |
| src\components\RightContent                                          |          3 |        218 |          9 |         24 |        251 |
| src\e2e                                                              |          1 |          8 |          3 |          3 |         14 |
| src\locales                                                          |         63 |      2,027 |          0 |         72 |      2,099 |
| src\locales\bn-BD                                                    |          7 |        239 |          0 |          7 |        246 |
| src\locales\en-US                                                    |          7 |        239 |          0 |          7 |        246 |
| src\locales\fa-IR                                                    |          7 |        238 |          0 |          7 |        245 |
| src\locales\id-ID                                                    |          7 |        241 |          0 |          7 |        248 |
| src\locales\ja-JP                                                    |          7 |        236 |          0 |          7 |        243 |
| src\locales\pt-BR                                                    |          7 |        242 |          0 |          7 |        249 |
| src\locales\zh-CN                                                    |          7 |        243 |          0 |          8 |        251 |
